"measurement_type" "activity_label" "feature" "axis" "average"
"mean" "laying" "fBodyAcc" "X" -0.966812071347737
"mean" "laying" "fBodyAcc" "Y" -0.952678416904835
"mean" "laying" "fBodyAcc" "Z" -0.960018019984568
"mean" "laying" "fBodyAccJerk" "X" -0.980197655180041
"mean" "laying" "fBodyAccJerk" "Y" -0.971383628894033
"mean" "laying" "fBodyAccJerk" "Z" -0.976614530180041
"mean" "laying" "fBodyAccMag" NA -0.94767271172428
"mean" "laying" "fBodyBodyAccJerkMag" NA -0.974300115365226
"mean" "laying" "fBodyBodyGyroJerkMag" NA -0.977968240452675
"mean" "laying" "fBodyBodyGyroMag" NA -0.95485445779321
"mean" "laying" "fBodyGyro" "X" -0.962915035776389
"mean" "laying" "fBodyGyro" "Y" -0.967582058544239
"mean" "laying" "fBodyGyro" "Z" -0.964184423173868
"mean" "laying" "tBodyAcc" "X" 0.268648643296245
"mean" "laying" "tBodyAcc" "Y" -0.0183177280685082
"mean" "laying" "tBodyAcc" "Z" -0.107435631519084
"mean" "laying" "tBodyAccJerk" "X" 0.0818473898341049
"mean" "laying" "tBodyAccJerk" "Y" 0.0111723565401199
"mean" "laying" "tBodyAccJerk" "Z" -0.00485976942268338
"mean" "laying" "tBodyAccJerkMag" NA -0.97920875497428
"mean" "laying" "tBodyAccMag" NA -0.941110656500514
"mean" "laying" "tBodyGyro" "X" -0.0167253403420918
"mean" "laying" "tBodyGyro" "Y" -0.0934107103603086
"mean" "laying" "tBodyGyro" "Z" 0.125885141252623
"mean" "laying" "tBodyGyroJerk" "X" -0.101864299363374
"mean" "laying" "tBodyGyroJerk" "Y" -0.038198085408019
"mean" "laying" "tBodyGyroJerk" "Z" -0.0638498197415123
"mean" "laying" "tBodyGyroJerkMag" NA -0.982726626075103
"mean" "laying" "tBodyGyroMag" NA -0.938435972026749
"mean" "laying" "tGravityAcc" "X" -0.375021333827161
"mean" "laying" "tGravityAcc" "Y" 0.622270362899691
"mean" "laying" "tGravityAcc" "Z" 0.55561247407572
"mean" "laying" "tGravityAccMag" NA -0.941110656500514
"mean" "sitting" "fBodyAcc" "X" -0.983091966702307
"mean" "sitting" "fBodyAcc" "Y" -0.947917966193585
"mean" "sitting" "fBodyAcc" "Z" -0.957031035425999
"mean" "sitting" "fBodyAccJerk" "X" -0.985188769302195
"mean" "sitting" "fBodyAccJerk" "Y" -0.973988189836804
"mean" "sitting" "fBodyAccJerk" "Z" -0.97956197226224
"mean" "sitting" "fBodyAccMag" NA -0.952410413225098
"mean" "sitting" "fBodyBodyAccJerkMag" NA -0.978684370388295
"mean" "sitting" "fBodyBodyGyroJerkMag" NA -0.985335632976927
"mean" "sitting" "fBodyBodyGyroMag" NA -0.964296113911086
"mean" "sitting" "fBodyGyro" "X" -0.977267261395611
"mean" "sitting" "fBodyGyro" "Y" -0.972457592965672
"mean" "sitting" "fBodyGyro" "Z" -0.961028716797974
"mean" "sitting" "tBodyAcc" "X" 0.273059614418965
"mean" "sitting" "tBodyAcc" "Y" -0.0126895730832639
"mean" "sitting" "tBodyAcc" "Z" -0.105517003220878
"mean" "sitting" "tBodyAccJerk" "X" 0.0758788492274395
"mean" "sitting" "tBodyAccJerk" "Y" 0.00504690529678683
"mean" "sitting" "tBodyAccJerk" "Z" -0.0024866605775919
"mean" "sitting" "tBodyAccJerkMag" NA -0.98244444337085
"mean" "sitting" "tBodyAccMag" NA -0.95464392144063
"mean" "sitting" "tBodyGyro" "X" -0.0384313168439482
"mean" "sitting" "tBodyGyro" "Y" -0.0721208098964153
"mean" "sitting" "tBodyGyro" "Z" 0.0777771461510523
"mean" "sitting" "tBodyGyroJerk" "X" -0.0956521058184581
"mean" "sitting" "tBodyGyroJerk" "Y" -0.040779780524009
"mean" "sitting" "tBodyGyroJerk" "Z" -0.0507555280236061
"mean" "sitting" "tBodyGyroJerkMag" NA -0.987880071435003
"mean" "sitting" "tBodyGyroMag" NA -0.946724138930782
"mean" "sitting" "tGravityAcc" "X" 0.879731193472144
"mean" "sitting" "tGravityAcc" "Y" 0.108713540331707
"mean" "sitting" "tGravityAcc" "Z" 0.153774088505577
"mean" "sitting" "tGravityAccMag" NA -0.95464392144063
"mean" "standing" "fBodyAcc" "X" -0.98162230498426
"mean" "standing" "fBodyAcc" "Y" -0.943132376852046
"mean" "standing" "fBodyAcc" "Z" -0.957359650828961
"mean" "standing" "fBodyAccJerk" "X" -0.980008693961175
"mean" "standing" "fBodyAccJerk" "Y" -0.96454742224554
"mean" "standing" "fBodyAccJerk" "Z" -0.976157838746065
"mean" "standing" "fBodyAccMag" NA -0.955868098520462
"mean" "standing" "fBodyBodyAccJerkMag" NA -0.971090423866737
"mean" "standing" "fBodyBodyGyroJerkMag" NA -0.974885979685205
"mean" "standing" "fBodyBodyGyroMag" NA -0.94790849906086
"mean" "standing" "fBodyGyro" "X" -0.943654258352571
"mean" "standing" "fBodyGyro" "Y" -0.965302753756558
"mean" "standing" "fBodyGyro" "Z" -0.958384988536201
"mean" "standing" "tBodyAcc" "X" 0.279153494050367
"mean" "standing" "tBodyAcc" "Y" -0.016151886473745
"mean" "standing" "tBodyAcc" "Z" -0.106586908690788
"mean" "standing" "tBodyAccJerk" "X" 0.0750279173525708
"mean" "standing" "tBodyAccJerk" "Y" 0.00880525863452886
"mean" "standing" "tBodyAccJerk" "Z" -0.00458206132902833
"mean" "standing" "tBodyAccJerkMag" NA -0.97711802452256
"mean" "standing" "tBodyAccMag" NA -0.954179661789087
"mean" "standing" "tBodyGyro" "X" -0.0266871408413746
"mean" "standing" "tBodyGyro" "Y" -0.0677118654705719
"mean" "standing" "tBodyGyro" "Z" 0.0801422394994229
"mean" "standing" "tBodyGyroJerk" "X" -0.0997292806919727
"mean" "standing" "tBodyGyroJerk" "Y" -0.0423171100101784
"mean" "standing" "tBodyGyroJerk" "Z" -0.052095548445404
"mean" "standing" "tBodyGyroJerkMag" NA -0.978697092402938
"mean" "standing" "tBodyGyroMag" NA -0.942152523158447
"mean" "standing" "tGravityAcc" "X" 0.941479635262329
"mean" "standing" "tGravityAcc" "Y" -0.18424651390288
"mean" "standing" "tGravityAcc" "Z" -0.0140519613122015
"mean" "standing" "tGravityAccMag" NA -0.954179661789087
"mean" "walking" "fBodyAcc" "X" -0.297890931822619
"mean" "walking" "fBodyAcc" "Y" -0.0423392245272938
"mean" "walking" "fBodyAcc" "Z" -0.341840674953966
"mean" "walking" "fBodyAccJerk" "X" -0.31112743843018
"mean" "walking" "fBodyAccJerk" "Y" -0.170395065771795
"mean" "walking" "fBodyAccJerk" "Z" -0.451010514389593
"mean" "walking" "fBodyAccMag" NA -0.275558097404657
"mean" "walking" "fBodyBodyAccJerkMag" NA -0.214653971925401
"mean" "walking" "fBodyBodyGyroJerkMag" NA -0.515516844208937
"mean" "walking" "fBodyBodyGyroMag" NA -0.409173038476359
"mean" "walking" "fBodyGyro" "X" -0.348237370890012
"mean" "walking" "fBodyGyro" "Y" -0.388384886139303
"mean" "walking" "fBodyGyro" "Z" -0.310406242610407
"mean" "walking" "tBodyAcc" "X" 0.276336875325203
"mean" "walking" "tBodyAcc" "Y" -0.0179068331339779
"mean" "walking" "tBodyAcc" "Z" -0.108881687638618
"mean" "walking" "tBodyAccJerk" "X" 0.0767187377408595
"mean" "walking" "tBodyAccJerk" "Y" 0.0115061924659823
"mean" "walking" "tBodyAccJerk" "Z" -0.00231938614930952
"mean" "walking" "tBodyAccJerkMag" NA -0.241451989838379
"mean" "walking" "tBodyAccMag" NA -0.167937853979757
"mean" "walking" "tBodyGyro" "X" -0.0347275766522822
"mean" "walking" "tBodyGyro" "Y" -0.0694200436104837
"mean" "walking" "tBodyGyro" "Z" 0.0863626487285566
"mean" "walking" "tBodyGyroJerk" "X" -0.0943007119992102
"mean" "walking" "tBodyGyroJerk" "Y" -0.0445701108594715
"mean" "walking" "tBodyGyroJerk" "Z" -0.0540064674427816
"mean" "walking" "tBodyGyroJerkMag" NA -0.460511516745528
"mean" "walking" "tBodyGyroMag" NA -0.274866019270244
"mean" "walking" "tGravityAcc" "X" 0.93499157825784
"mean" "walking" "tGravityAcc" "Y" -0.196713497359117
"mean" "walking" "tGravityAcc" "Z" -0.0538251249015482
"mean" "walking" "tGravityAccMag" NA -0.167937853979757
"mean" "walking_downstairs" "fBodyAcc" "X" 0.035259668648926
"mean" "walking_downstairs" "fBodyAcc" "Y" 0.0566826541965861
"mean" "walking_downstairs" "fBodyAcc" "Z" -0.21372923278293
"mean" "walking_downstairs" "fBodyAccJerk" "X" -0.0722967761178656
"mean" "walking_downstairs" "fBodyAccJerk" "Y" -0.116380593184566
"mean" "walking_downstairs" "fBodyAccJerk" "Z" -0.333190280461238
"mean" "walking_downstairs" "fBodyAccMag" NA 0.142849426284481
"mean" "walking_downstairs" "fBodyBodyAccJerkMag" NA 0.00476245916278094
"mean" "walking_downstairs" "fBodyBodyGyroJerkMag" NA -0.438007290282333
"mean" "walking_downstairs" "fBodyBodyGyroMag" NA -0.289525832505356
"mean" "walking_downstairs" "fBodyGyro" "X" -0.217922875601003
"mean" "walking_downstairs" "fBodyGyro" "Y" -0.317592694113158
"mean" "walking_downstairs" "fBodyGyro" "Z" -0.16562514453862
"mean" "walking_downstairs" "tBodyAcc" "X" 0.288137227760313
"mean" "walking_downstairs" "tBodyAcc" "Y" -0.0163119254923574
"mean" "walking_downstairs" "tBodyAcc" "Z" -0.105761624860013
"mean" "walking_downstairs" "tBodyAccJerk" "X" 0.0892266917679481
"mean" "walking_downstairs" "tBodyAccJerk" "Y" 0.000746749097403983
"mean" "walking_downstairs" "tBodyAccJerk" "Z" -0.00872860399406828
"mean" "walking_downstairs" "tBodyAccJerkMag" NA -0.111801821250135
"mean" "walking_downstairs" "tBodyAccMag" NA 0.101249699851558
"mean" "walking_downstairs" "tBodyGyro" "X" -0.0840345434632895
"mean" "walking_downstairs" "tBodyGyro" "Y" -0.0529928638977233
"mean" "walking_downstairs" "tBodyGyro" "Z" 0.0946781961059175
"mean" "walking_downstairs" "tBodyGyroJerk" "X" -0.0728532273938407
"mean" "walking_downstairs" "tBodyGyroJerk" "Y" -0.051263979292845
"mean" "walking_downstairs" "tBodyGyroJerk" "Z" -0.0546961525371337
"mean" "walking_downstairs" "tBodyGyroJerkMag" NA -0.416891551237909
"mean" "walking_downstairs" "tBodyGyroMag" NA -0.129785639782795
"mean" "walking_downstairs" "tGravityAcc" "X" 0.926457404928876
"mean" "walking_downstairs" "tGravityAcc" "Y" -0.168507222023357
"mean" "walking_downstairs" "tGravityAcc" "Z" -0.0479709004743904
"mean" "walking_downstairs" "tGravityAccMag" NA 0.101249699851558
"mean" "walking_upstairs" "fBodyAcc" "X" -0.293406752279022
"mean" "walking_upstairs" "fBodyAcc" "Y" -0.134950514403271
"mean" "walking_upstairs" "fBodyAcc" "Z" -0.368122061042293
"mean" "walking_upstairs" "fBodyAccJerk" "X" -0.389896773119819
"mean" "walking_upstairs" "fBodyAccJerk" "Y" -0.364666839787014
"mean" "walking_upstairs" "fBodyAccJerk" "Z" -0.591670061637306
"mean" "walking_upstairs" "fBodyAccMag" NA -0.26202811322658
"mean" "walking_upstairs" "fBodyBodyAccJerkMag" NA -0.353961999926425
"mean" "walking_upstairs" "fBodyBodyGyroJerkMag" NA -0.658694456439443
"mean" "walking_upstairs" "fBodyBodyGyroMag" NA -0.449781382648834
"mean" "walking_upstairs" "fBodyGyro" "X" -0.394248174023122
"mean" "walking_upstairs" "fBodyGyro" "Y" -0.45925346898967
"mean" "walking_upstairs" "fBodyGyro" "Z" -0.296857721646179
"mean" "walking_upstairs" "tBodyAcc" "X" 0.26229464948342
"mean" "walking_upstairs" "tBodyAcc" "Y" -0.0259232890342181
"mean" "walking_upstairs" "tBodyAcc" "Z" -0.120537934670272
"mean" "walking_upstairs" "tBodyAccJerk" "X" 0.0767293215286917
"mean" "walking_upstairs" "tBodyAccJerk" "Y" 0.00875888964679404
"mean" "walking_upstairs" "tBodyAccJerk" "Z" -0.00600953398545337
"mean" "walking_upstairs" "tBodyAccJerkMag" NA -0.390938624541516
"mean" "walking_upstairs" "tBodyAccMag" NA -0.100204123946392
"mean" "walking_upstairs" "tBodyGyro" "X" 0.00682449600215674
"mean" "walking_upstairs" "tBodyGyro" "Y" -0.0885225289752966
"mean" "walking_upstairs" "tBodyGyro" "Z" 0.0598938080367487
"mean" "walking_upstairs" "tBodyGyroJerk" "X" -0.112117464583562
"mean" "walking_upstairs" "tBodyGyroJerk" "Y" -0.0386192672141386
"mean" "walking_upstairs" "tBodyGyroJerk" "Z" -0.0525810278118912
"mean" "walking_upstairs" "tBodyGyroJerkMag" NA -0.608047148013666
"mean" "walking_upstairs" "tBodyGyroMag" NA -0.178281147518361
"mean" "walking_upstairs" "tGravityAcc" "X" 0.875003375958549
"mean" "walking_upstairs" "tGravityAcc" "Y" -0.281377193548575
"mean" "walking_upstairs" "tGravityAcc" "Z" -0.14079566587547
"mean" "walking_upstairs" "tGravityAccMag" NA -0.100204123946392
"std" "laying" "fBodyAcc" "X" -0.959031456047479
"std" "laying" "fBodyAcc" "Y" -0.942460971074588
"std" "laying" "fBodyAcc" "Z" -0.945643635450566
"std" "laying" "fBodyAccJerk" "X" -0.982459599243827
"std" "laying" "fBodyAccJerk" "Y" -0.973051242896091
"std" "laying" "fBodyAccJerk" "Z" -0.980971915740741
"std" "laying" "fBodyAccMag" NA -0.934916672889661
"std" "laying" "fBodyBodyAccJerkMag" NA -0.97318339962963
"std" "laying" "fBodyBodyGyroJerkMag" NA -0.976648216795267
"std" "laying" "fBodyBodyGyroMag" NA -0.942115714415638
"std" "laying" "fBodyGyro" "X" -0.96974730340535
"std" "laying" "fBodyGyro" "Y" -0.961365374902263
"std" "laying" "fBodyGyro" "Z" -0.966725247165638
"std" "laying" "tBodyAcc" "X" -0.960932405036523
"std" "laying" "tBodyAcc" "Y" -0.943507185574074
"std" "laying" "tBodyAcc" "Z" -0.948069300024897
"std" "laying" "tBodyAccJerk" "X" -0.980381808513375
"std" "laying" "tBodyAccJerk" "Y" -0.971147567757202
"std" "laying" "tBodyAccJerk" "Z" -0.979476595910494
"std" "laying" "tBodyAccJerkMag" NA -0.974240573559671
"std" "laying" "tBodyAccMag" NA -0.932160020511831
"std" "laying" "tBodyGyro" "X" -0.967892432932613
"std" "laying" "tBodyGyro" "Y" -0.963192469243827
"std" "laying" "tBodyGyro" "Z" -0.963509228024691
"std" "laying" "tBodyGyroJerk" "X" -0.976124813760288
"std" "laying" "tBodyGyroJerk" "Y" -0.980473581049383
"std" "laying" "tBodyGyroJerk" "Z" -0.984782526095679
"std" "laying" "tBodyGyroJerkMag" NA -0.976754966054527
"std" "laying" "tBodyGyroMag" NA -0.940596109587449
"std" "laying" "tGravityAcc" "X" -0.943319727953189
"std" "laying" "tGravityAcc" "Y" -0.963191706084414
"std" "laying" "tGravityAcc" "Z" -0.951868724368827
"std" "laying" "tGravityAccMag" NA -0.932160020511831
"std" "sitting" "fBodyAcc" "X" -0.983747266764209
"std" "sitting" "fBodyAcc" "Y" -0.932533490271469
"std" "sitting" "fBodyAcc" "Z" -0.934336687975915
"std" "sitting" "fBodyAccJerk" "X" -0.98618495368036
"std" "sitting" "fBodyAccJerk" "Y" -0.975750855391109
"std" "sitting" "fBodyAccJerk" "Z" -0.983670821046708
"std" "sitting" "fBodyAccMag" NA -0.942000150701182
"std" "sitting" "fBodyBodyAccJerkMag" NA -0.978154770658413
"std" "sitting" "fBodyBodyGyroJerkMag" NA -0.984491355740011
"std" "sitting" "fBodyBodyGyroMag" NA -0.951641735873945
"std" "sitting" "fBodyGyro" "X" -0.982333273978616
"std" "sitting" "fBodyGyro" "Y" -0.964033658897017
"std" "sitting" "fBodyGyro" "Z" -0.961030235486775
"std" "sitting" "tBodyAcc" "X" -0.983446221750141
"std" "sitting" "tBodyAcc" "Y" -0.934880562895515
"std" "sitting" "tBodyAcc" "Z" -0.938981580616207
"std" "sitting" "tBodyAccJerk" "X" -0.984997226336522
"std" "sitting" "tBodyAccJerk" "Y" -0.973883160517726
"std" "sitting" "tBodyAccJerk" "Z" -0.982296486972425
"std" "sitting" "tBodyAccJerkMag" NA -0.978907079240293
"std" "sitting" "tBodyAccMag" NA -0.939324188353517
"std" "sitting" "tBodyGyro" "X" -0.981022213218908
"std" "sitting" "tBodyGyro" "Y" -0.966708127310073
"std" "sitting" "tBodyGyro" "Z" -0.958007496724817
"std" "sitting" "tBodyGyroJerk" "X" -0.985705127658976
"std" "sitting" "tBodyGyroJerk" "Y" -0.986502338745076
"std" "sitting" "tBodyGyroJerk" "Z" -0.983805514068655
"std" "sitting" "tBodyGyroJerkMag" NA -0.98460762855937
"std" "sitting" "tBodyGyroMag" NA -0.951199015615082
"std" "sitting" "tGravityAcc" "X" -0.979682230393922
"std" "sitting" "tGravityAcc" "Y" -0.957672740350591
"std" "sitting" "tGravityAcc" "Z" -0.947357438593134
"std" "sitting" "tGravityAccMag" NA -0.939324188353517
"std" "standing" "fBodyAcc" "X" -0.985859786930745
"std" "standing" "fBodyAcc" "Y" -0.931132967334732
"std" "standing" "fBodyAcc" "Z" -0.935439598488982
"std" "standing" "fBodyAccJerk" "X" -0.981826075755509
"std" "standing" "fBodyAccJerk" "Y" -0.966831630482686
"std" "standing" "fBodyAccJerk" "Z" -0.981509250650577
"std" "standing" "fBodyAccMag" NA -0.949601613473977
"std" "standing" "fBodyBodyAccJerkMag" NA -0.970947966726128
"std" "standing" "fBodyBodyGyroJerkMag" NA -0.973461064197272
"std" "standing" "fBodyBodyGyroMag" NA -0.93063670339979
"std" "standing" "fBodyGyro" "X" -0.946971557429171
"std" "standing" "fBodyGyro" "Y" -0.959498600608604
"std" "standing" "fBodyGyro" "Z" -0.960689223903463
"std" "standing" "tBodyAcc" "X" -0.98443471156873
"std" "standing" "tBodyAcc" "Y" -0.932508714024134
"std" "standing" "tBodyAcc" "Z" -0.939913504673138
"std" "standing" "tBodyAccJerk" "X" -0.97996855569255
"std" "standing" "tBodyAccJerk" "Y" -0.964342752203568
"std" "standing" "tBodyAccJerk" "Z" -0.979485931469045
"std" "standing" "tBodyAccJerkMag" NA -0.971452977271773
"std" "standing" "tBodyAccMag" NA -0.946534779481637
"std" "standing" "tBodyGyro" "X" -0.94552836296957
"std" "standing" "tBodyGyro" "Y" -0.961293278672613
"std" "standing" "tBodyGyro" "Z" -0.957053051274921
"std" "standing" "tBodyGyroJerk" "X" -0.966957942859391
"std" "standing" "tBodyGyroJerk" "Y" -0.980263299260231
"std" "standing" "tBodyGyroJerk" "Z" -0.977067117235047
"std" "standing" "tBodyGyroJerkMag" NA -0.973528580524659
"std" "standing" "tBodyGyroMag" NA -0.929531182355719
"std" "standing" "tGravityAcc" "X" -0.988015176652676
"std" "standing" "tGravityAcc" "Y" -0.969351769994753
"std" "standing" "tGravityAcc" "Z" -0.953082525826338
"std" "standing" "tGravityAccMag" NA -0.946534779481637
"std" "walking" "fBodyAcc" "X" -0.322835798362427
"std" "walking" "fBodyAcc" "Y" -0.0772063416317422
"std" "walking" "fBodyAcc" "Z" -0.296078309260848
"std" "walking" "fBodyAccJerk" "X" -0.287897688500499
"std" "walking" "fBodyAccJerk" "Y" -0.0908699078702335
"std" "walking" "fBodyAccJerk" "Z" -0.506329080412654
"std" "walking" "fBodyAccMag" NA -0.480002278144599
"std" "walking" "fBodyBodyAccJerkMag" NA -0.221617770280105
"std" "walking" "fBodyBodyGyroJerkMag" NA -0.514404823691173
"std" "walking" "fBodyBodyGyroMag" NA -0.47383309359518
"std" "walking" "fBodyGyro" "X" -0.510431986710081
"std" "walking" "fBodyGyro" "Y" -0.331961524686347
